"","date","awardee","awardee_id","awardee_code","Total Deliveries","Jurisdiction","Federal Retail Pharmacy Program","HRSA FQHC Program","FEMA CVC Pilot Program","HHS/NIH Program","Renal Dialysis Program","Federal Entities","Total Administrations","Jurisdiction + Federal Programs","Federal Entities Administrations","Overall Administration Ratio: Unadjusted","Overall Administration Ratio: Adjusted","Jurisdiction + Federal Program Administration Ratio: Unadjusted","Jurisdiction + Federal Program Administration Ratio: Adjusted","checksum- total admin","checksum- deliveries","delivery_total_mismatch","admin_total_mismatch","X24","Percent Jurisdiction","Percent Federal Pharmacy","Percent FQHC","Percent FEMA CVC","Percent HHS/NIH","Percent Dialysis","Percent Federal Entities"
"46","5/2/21","Puerto Rico",1048,"PR",3180310,2208560,803480,73670,0,0,0,94600,1885594,1820889,64705,"60.0%","61.2%","61.2%","62.4%",1885594,3180310,NA,NA,NA,69.4448025506947,25.2642038040317,2.31644085010581,0,0,0,2.97455279516777
"47","5/2/21","Rhode Island",1050,"RI",1151925,785195,298135,12600,0,0,0,55995,913120,878670,34450,"80.8%","82.5%","82.7%","84.5%",913120,1151925,NA,NA,NA,68.1637259370185,25.8814592963952,1.09382121231851,0,0,0,4.86099355426786
"48","5/2/21","South Carolina",1052,"SC",4577065,2925660,1427920,14700,0,0,8190,200595,3241756,3102064,139692,"71.7%","72.8%","72.0%","73.2%",3241756,4577065,NA,NA,NA,63.9200011360992,31.1972847228519,0.321166511727493,0,0,0.178935627962461,4.38261200135895
"49","5/2/21","South Dakota",1053,"SD",904095,612510,155820,2400,0,0,0,133365,699187,609954,89233,"77.9%","78.6%","80.0%","81.0%",699187,904095,NA,NA,NA,67.7484113948202,17.2349144724835,0.265458828994741,0,0,0,14.7512153037015
"50","5/2/21","Tennessee",1054,"TN",5555100,4009600,1350415,8300,37440,0,8190,141155,4009536,3862658,146878,"72.7%","72.7%","72.0%","72.0%",4009536,5555100,NA,NA,NA,72.1787186549297,24.3094633759968,0.149412251804648,0.67397526597181,0,0.147432089431333,2.54099836186567
"51","5/2/21","Texas",1055,"TX",25514685,18274690,5564435,177930,699640,1670,21060,775260,19086221,18513779,572442,"75.1%","76.0%","75.7%","76.7%",19086221,25514685,NA,NA,NA,71.6242038653426,21.8087544486636,0.697363106775569,2.74210714339605,0.0065452503136919,0.0825407015606895,3.03848548394777
"52","5/2/21","U.S. Virgin Islands",1058,"VI",72180,66080,4700,1200,0,0,0,200,62302,61740,562,"85.7%","84.5%","86.6%","85.4%",62302,72180,NA,NA,NA,91.5489055139928,6.51149903020227,1.66251039068994,0,0,0,0.27708506511499
"53","5/2/21","Utah",1056,"UT",2556860,1952350,525190,7500,0,0,1170,70650,2116254,2070811,45443,"83.9%","86.0%","84.7%","86.9%",2116254,2556860,NA,NA,NA,76.3573289112427,20.5404284943251,0.29332853578217,0,0,0.0457592515820186,2.76315480706804
"54","5/2/21","Vermont",1057,"VT",694440,480795,157205,21840,0,0,0,34600,563428,543902,19526,"83.0%","85.5%","87.4%","89.9%",563428,694440,NA,NA,NA,69.2349231035079,22.6376648810552,3.14498012787282,0,0,0,4.98243188756408
"55","5/2/21","Virginia",1059,"VA",8247505,5780995,1881810,33750,119300,0,4680,426970,6643714,6300910,342804,"81.5%","83.1%","81.8%","83.5%",6643714,8247505,NA,NA,NA,70.0938647506125,22.8167185106284,0.40921466552612,1.44649806214122,0,0.0567444336196219,5.17695957747222
"56","5/2/21","Washington",1060,"WA",7368520,5186100,1542650,236590,49140,0,0,354040,5828361,5623610,204751,"80.5%","82.7%","84.5%","86.8%",5828361,7368520,NA,NA,NA,70.3818405867121,20.9356831493977,3.21082116897287,0.666891044605972,0,0,4.80476405031132
"57","5/2/21","West Virginia",1061,"WV",1658905,1244570,306040,7400,0,0,0,100895,1173419,1091060,82359,"70.8%","70.7%","70.4%","70.3%",1173419,1658905,NA,NA,NA,75.0235848345746,18.4483137973543,0.446077382369696,0,0,0,6.08202398570141
"58","5/2/21","Wisconsin",1062,"WI",5279725,3805875,1209920,6700,108860,0,0,148370,4644336,4508976,135360,"88.4%","89.3%","88.4%","89.4%",4644336,5279725,NA,NA,NA,72.0847203216077,22.9163450747908,0.126900548797523,2.06184981225348,0,0,2.81018424255051
"59","5/2/21","Wyoming",1063,"WY",483195,346975,88660,200,0,0,0,47360,356057,326749,29308,"73.9%","73.8%","75.3%","75.1%",356057,483195,NA,NA,NA,71.8084831175819,18.3486998002877,0.0413911567793541,0,0,0,9.80142592535105
